Product,UPC Code,Walmart,Target,Market Street,Kroger
"Lay's Classic Potato Chips, 8 oz Bag",028400199148,2.50,3.59,2.99,3.29
"Lay's Kettle Sea Salt & Cracked Pepper Cooked Potato Chips, 8 Oz.",028400372978,3.48,N/A,N/A,N/A
"Lay's Kettle Cooked Sea Salt & Vinegar Potato Chips, 8 Oz.",028400372169,3.48,3.39,3.49,3.29
"Lay's Kettle Cooked Mesquite BBQ Flavored Potato Chips, 8 Oz.",028400372183,3.48,3.39,3.49,3.29
"Lay's Kettle Cooked Potato Chips, Jalapeno, 8 oz Bag",028400371858,3.48,3.39,3.49,3.29
"Lay's Kettle Cooked Flamin' Hot Flavored Potato Chips, 8 oz Bag",028400309660,3.48,3.39,N/A,3.29
"Lay's Kettle Cooked Extra Honey Habanero, 8 oz bag",028400515306,N/A,3.39,N/A,N/A
"Lay's Classic Potato Chips, Party Size, 13 oz Bag",028400310413,4.12,4.79,3.99,4.29
"Lay's Wavy Original Potato Chips, Party Size, 13 oz Bag",028400310468,4.12,4.79,3.99,4.29
"Lay's Barbecue Flavored Potato Chips, Party Size, 12.5 oz Bag",028400310406,4.12,4.79,3.99,4.29
"Lay's Sour Cream & Onion Flavored Potato Chips, Party Size, 12.5 oz Bag",028400310444,4.12,4.79,3.99,4.29
"Lay's Limon Flavored Potato Chips, Party Size, 12.5 oz Bag",028400310550,4.12,4.79,3.99,4.29
"Lay's Cheddar & Sour Cream Flavored Potato Chips, Party Size, 12.5 oz Bag",028400310505,4.12,N/A,N/A,4.29
"Lay's Lightly Salted Classic Flavored Potato Chips, Party Size, 12.5 oz Bag",028400310543,4.12,4.79,3.99,4.29
"Lay's Potato Chips, Barbecue Flavor, 7.75 oz Bag",028400199612,2.50,3.59,2.99,3.29
"Lay's Potato Chips, Honey Barbecue Flavor, 7.75 oz Bag",028400200684,2.50,3.59,2.99,3.29
"Lay's Potato Chips, Limon Flavor, 7.75 oz Bag",028400201261,2.50,3.59,2.99,3.29
"Lay's Potato Chips, Sweet Southern Heat Barbecue Flavor, 7.75 oz Bag",028400201292,2.50,N/A,2.99,3.29
"Lay's Potato Chips, Dill Pickle Flavor, 7.75 oz Bag",028400201285,2.50,3.59,2.99,3.29
"Lay's Potato Chips, Flamin' Hot Flavor, 7.75 oz Bag",028400201315,2.50,N/A,2.99,3.29
"Lay's Chile Limon Flavored Potato Chips, 7.75 oz Bag",028400201322,2.50,3.59,2.99,3.29
"Lay's Potato Chips, Lightly Salted Classic Flavor, 7.75 oz Bag",028400200592,2.50,3.59,2.99,3.29
"Lay's Wavy Potato Chips, Hickory BBQ Flavor, 7.5 oz Bag",028400043496,2.50,3.59,2.99,3.29
"Doritos Nacho Cheese Flavored Tortilla Chips, Party Size, 14.5 oz Bag",028400517799,4.18,4.79,4.49,4.29
"Doritos Nacho Cheese Flavored Tortilla Chips, 9.25 oz Bag",028400516464,3.00,3.99,N/A,3.49
"Doritos Cool Ranch Flavored Tortilla Chips, 9.25 oz Bag",028400516310,3.00,3.99,N/A,3.49
"Doritos Spicy Sweet Chili Flavored Tortilla Chips, 9.25 oz Bag",028400516679,3.00,3.99,N/A,3.49
"Doritos Spicy Nacho Flavored Tortilla Chips, 9.25 oz Bag",028400516471,3.00,3.99,N/A,3.49
"Doritos Flavored Tortilla Chips Tapatio Flavored, 9.25 oz Bag",028400516488,3.00,N/A,N/A,3.49
"Doritos Flavored Tortilla Chips Flamin' Hot Nacho, 9.25 oz Bag",028400516440,3.00,3.99,N/A,3.49
"Doritos Flavored Tortilla Chips Flamin' Hot Limon, 9.25 oz Bag",028400516662,3.00,3.99,N/A,3.49
"Doritos Flavored Tortilla Chips Flamas Flavored, 9.25 oz Bag",028400516570,3.00,3.99,N/A,3.49
"Doritos Cool Ranch Flavored Tortilla Chips, Party Size, 14.5 oz Bag",028400517775,4.18,4.79,N/A,4.29
"Doritos Spicy Nacho Flavored Tortilla Chips, 14.5 oz Bag",028400517805,4.18,4.79,N/A,4.29
"Mountain Dew Original Citrus Soda Pop, 2 Liter, Bottle",012000002335,1.48,1.99,2.19,1.99
"Sprite Caffeine-Free Lemon Lime Soda Pop, 2 Liter Bottle",049000050158,1.48,1.99,2.29,2.19
"Coca-Cola Original Soda Pop, 2 Liter Bottle",049000050103,1.48,1.99,2.29,2.19
"Fanta Orange Soda Bottle, 2 Liters",049000050257,1.00,1.99,2.29,2.19
"Pepsi Cola Soda Pop, 2 Liter, Bottle",012000002304,1.48,1.99,2.19,1.99
"A&W Caffeine-Free, Low Sodium Root Beer Soda Pop, 2 Litter Bottle",078000052466,1.25,1.69,1.99,1.99
"Chips Ahoy! Chewy Chocolate Chip Cookies, Family Size, 19.5 Oz",044000033392,3.67,3.89,3.79,3.99
"Chips Ahoy! Original Chocolate Chip Cookies, Family Size, 18.2 Oz",044000033385,3.67,3.89,3.79,3.99
Cinnamon Toast Crunch Breakfast Cereal - 12oz - General Mills,016000122543,2.98,3.49,3.79,2.79
"Post Honeycomb, 16 oz",884912111814,2.96,3.49,N/A,3.19
"Honey Nut Cheerios, Breakfast Cereal with Oats, Gluten Free, 10.8 oz",016000124790,2.98,3.49,3.79,2.79
"Reese's Puffs Cereal, Chocolately Peanut Butter, with Whole Grain, 11.5 oz",016000122222,2.98,3.49,3.79,3.99
"Sour Patch Kids Holiday Candy, Original Flavor, Family Size Bag (1.8 lb)",070462005837,4.98,4.99,N/A,4.99
"Sunbeam Giant Enriched White Bread Loaf, 24 oz, 28 Count",077633047375,2.48,3.19,3.29,3.29
"Blue Bell Gold Rim, Homemade Vanilla Ice Cream, 64 oz",071899037200,6.98,N/A,7.99,4.99
